Date,"Volume, items",Open,High,Low,Close
2018-01-03,2232020,292.25,297.95,292.15,297.95
2018-01-04,5762200,298.95,308.25,297.6,307.0
2018-01-05,4237350,307.0,313.65,304.65,311.95
2018-01-09,4577460,312.6,316.25,311.15,315.1
2018-01-10,5564030,316.1,319.85,312.0,317.75
2018-01-11,4586170,317.75,325.0,316.05,325.0
2018-01-12,5490740,325.5,326.95,318.55,324.35
2018-01-15,3518870,325.0,326.7,318.75,319.95
2018-01-16,4620330,320.0,321.45,314.0,317.5
2018-01-17,6126070,316.0,326.5,312.95,326.5
2018-01-18,10934640,326.9,333.35,325.05,333.1
2018-01-19,4224540,332.8,332.95,326.65,328.0
2018-01-22,4538960,326.0,332.95,324.4,332.95
2018-01-23,5666010,333.55,336.4,329.2,335.0
2018-01-24,9614780,334.95,345.85,331.6,344.5
2018-01-25,15740420,347.9,359.3,343.5,351.5
2018-01-26,5869690,350.0,356.85,346.3,351.8
2018-01-29,5209810,352.5,356.8,346.35,346.35
2018-01-30,6319350,344.0,352.85,341.5,342.1
2018-01-31,5669980,341.8,347.45,338.5,343.2
2018-02-01,5355280,345.0,353.0,344.55,344.95
2018-02-02,5000440,346.5,349.0,337.25,339.9
2018-02-05,5413920,335.55,340.45,332.0,338.3
2018-02-06,6219130,332.05,337.25,328.35,330.0
2018-02-07,5303310,332.4,338.3,332.4,336.0
2018-02-08,4941760,333.05,335.4,326.6,326.65
2018-02-09,6429030,323.0,329.5,320.35,324.55
2018-02-12,6393160,328.2,332.65,324.7,325.3
2018-02-13,3564370,325.95,328.05,323.5,325.4
2018-02-14,3791640,326.55,326.95,322.75,326.0
2018-02-15,6019180,328.5,333.8,324.3,324.3
2018-02-16,3708170,326.95,328.25,323.1,324.2
2018-02-19,1711150,325.7,327.8,322.05,324.0
2018-02-20,2081750,323.9,325.35,320.55,322.0
2018-02-21,4642740,321.9,333.5,319.5,333.5
2018-02-22,4431330,331.05,338.0,329.05,337.3
2018-02-26,4590400,341.85,345.85,340.6,341.8
2018-02-27,2477180,342.5,343.2,336.65,337.5
2018-02-28,2911040,333.5,335.7,329.15,330.5
2018-03-01,3978300,327.0,327.85,322.1,323.5
2018-03-02,6258450,322.9,324.8,314.6,319.5
2018-03-05,3448770,321.6,324.45,319.3,320.5
2018-03-06,3972670,322.1,324.95,318.05,318.7
2018-03-07,2913810,317.25,317.4,312.2,315.0
2018-03-09,2974960,314.95,316.45,312.25,313.25
2018-03-12,6769100,314.55,319.55,313.1,314.7
2018-03-13,4546780,314.0,315.35,312.0,312.0
2018-03-14,4873470,311.0,311.5,307.55,310.35
2018-03-15,6690690,310.0,316.0,305.55,314.2
2018-03-16,6848630,315.85,319.45,311.5,319.3
2018-03-19,8328140,321.8,324.6,316.0,316.0
2018-03-20,5622870,317.0,319.25,312.6,317.55
2018-03-21,4980520,317.65,321.5,316.0,317.5
2018-03-22,3247090,318.6,319.75,315.0,316.15
2018-03-23,3689250,315.35,315.35,311.25,314.5
